epoch,loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
0,0.7002333402633667,0.8367994427680969,0.6613055467605591,0.8132069706916809
1,0.5788062810897827,0.7607932090759277,0.41135716438293457,0.6413713097572327
2,0.315875768661499,0.5620282888412476,0.07416516542434692,0.2723328173160553
3,0.08525452017784119,0.2919837534427643,0.013991809450089931,0.11828698217868805
4,0.006671987473964691,0.0816822350025177,0.009755263105034828,0.09876873344182968
5,0.00447327084839344,0.06688251346349716,0.003614899469539523,0.06012403219938278
6,0.0029304814524948597,0.05413392186164856,0.001945840078406036,0.04411167651414871
7,0.0056062545627355576,0.07487492263317108,0.001305429614149034,0.03613073006272316
8,0.009062368422746658,0.09519647061824799,0.013887605629861355,0.11784568428993225
9,0.011317586526274681,0.10638414323329926,0.0011169068748131394,0.03342015668749809
10,0.012967607006430626,0.11387540400028229,0.00227022054605186,0.04764683172106743
11,0.008257429115474224,0.09087039530277252,0.019812408834695816,0.14075656235218048
12,0.006109328009188175,0.07816219329833984,0.012744170613586903,0.1128900796175003
13,0.011103114113211632,0.10537131875753403,0.006519882008433342,0.08074578642845154
14,0.008078265935182571,0.08987917751073837,0.0012641095090657473,0.03555431589484215
15,0.008558204397559166,0.09251056611537933,0.012759552337229252,0.11295818537473679
16,0.01091904379427433,0.10449422895908356,0.0016128062270581722,0.04015975818037987
17,0.006599718704819679,0.08123864978551865,0.007406032178550959,0.08605830371379852
18,0.007908415980637074,0.08892927318811417,0.015890145674347878,0.12605611979961395
19,0.0071836793795228004,0.08475659042596817,0.0028224096167832613,0.05312635377049446
20,0.005743625108152628,0.07578670978546143,0.0024332567118108273,0.04932805150747299
21,0.011802860535681248,0.10864096879959106,0.001143277739174664,0.03381238877773285
22,0.008633497171103954,0.09291661530733109,0.009944704361259937,0.09972313791513443
23,0.005329152103513479,0.07300104200839996,0.0028829022776335478,0.053692664951086044
24,0.006646616850048304,0.08152678608894348,0.001001048251055181,0.03163934499025345
25,0.008064025081694126,0.0897999182343483,0.018804287537932396,0.13712872564792633
26,0.008693438954651356,0.09323861449956894,0.0012145636137574911,0.0348505899310112
27,0.005494637880474329,0.07412582635879517,0.015889998525381088,0.1260555386543274
28,0.0052197035402059555,0.07224751263856888,0.009320113807916641,0.09654073417186737
29,0.009986021555960178,0.09993008524179459,0.0024635165464133024,0.049633823335170746
30,0.004600962623953819,0.0678303986787796,0.0035898417700082064,0.05991528928279877
31,0.005892583169043064,0.07676316052675247,0.006162146106362343,0.07849933952093124
32,0.00568788405507803,0.07541806250810623,0.0018771711038425565,0.04332633316516876
33,0.011567752808332443,0.10755348950624466,0.0010101832449436188,0.03178337961435318
34,0.006901823915541172,0.08307721465826035,0.0013905811356380582,0.03729049488902092
35,0.0024411100894212723,0.04940759018063545,0.0050321114249527454,0.070937380194664
36,0.010970049537718296,0.10473800450563431,0.01742536388337612,0.13200516998767853
37,0.00564620504155755,0.07514123618602753,0.004156915005296469,0.06447414308786392
38,0.003263520309701562,0.05712722986936569,0.005678622983396053,0.07535663992166519
39,0.009084461256861687,0.0953124389052391,0.0012762068072333932,0.035724036395549774
40,0.004818395711481571,0.0694146677851677,0.004551607184112072,0.06746560335159302
41,0.0073671890422701836,0.08583232760429382,0.008013659156858921,0.08951904624700546
42,0.004134692717343569,0.06430157274007797,0.0009347080485895276,0.03057299554347992
43,0.005586124025285244,0.07474038004875183,0.0013021582271903753,0.03608543053269386
44,0.004265062510967255,0.06530744582414627,0.0009680669754743576,0.031113775447010994
45,0.008197853341698647,0.09054199606180191,0.0010312801459804177,0.03211355209350586
46,0.004219529218971729,0.06495790183544159,0.000894903379958123,0.029914936050772667
47,0.004068576730787754,0.06378539651632309,0.0012665360700339079,0.035588424652814865
48,0.006931644398719072,0.08325649797916412,0.008787520229816437,0.093741774559021
49,0.004824200179427862,0.06945646554231644,0.0011559983249753714,0.0339999757707119
50,0.00696532242000103,0.08345850557088852,0.006905483081936836,0.08309923857450485
51,0.00300234486348927,0.05479365587234497,0.007840965874493122,0.08854922652244568
