epoch,loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
0,2.8255391120910645,1.680934190750122,2.5966196060180664,1.6114028692245483
1,1.1913352012634277,1.0914827585220337,0.8788319230079651,0.9374603033065796
2,0.7923080325126648,0.8901168704032898,0.7404768466949463,0.8605096936225891
3,0.7620518207550049,0.8729559183120728,0.7690881490707397,0.8769766688346863
4,0.714308500289917,0.8451676964759827,0.6581036448478699,0.8112359046936035
5,0.6709214448928833,0.8190978765487671,0.6216826438903809,0.7884684801101685
6,0.6423724889755249,0.8014814853668213,0.6250988841056824,0.7906319499015808
7,0.6049278974533081,0.7777712345123291,0.6009538769721985,0.7752121686935425
8,0.6042768359184265,0.777352511882782,0.5379430651664734,0.7334460020065308
9,0.5560836791992188,0.7457102537155151,0.7170750498771667,0.8468028903007507
10,0.6660273671150208,0.8161048293113708,0.5324210524559021,0.729671835899353
11,0.5148600935935974,0.7175375819206238,0.5339056849479675,0.7306885719299316
12,0.5106583833694458,0.7146036028862,0.4668545722961426,0.6832676529884338
13,0.5321959257125854,0.7295176982879639,0.46046414971351624,0.6785750985145569
14,0.5386854410171509,0.7339518666267395,0.5774065256118774,0.7598727345466614
15,0.4973834156990051,0.7052541971206665,0.45912784337997437,0.6775896549224854
16,0.4844566881656647,0.6960293650627136,0.49810510873794556,0.7057656049728394
17,0.45400285720825195,0.6737973093986511,0.7529627680778503,0.8677343130111694
18,0.49025484919548035,0.7001819610595703,0.46694499254226685,0.683333694934845
19,0.44727611541748047,0.6687871217727661,0.41040825843811035,0.6406311392784119
20,0.4184684455394745,0.6468913555145264,0.3886227607727051,0.6233961582183838
21,0.47249269485473633,0.6873809695243835,0.6111828684806824,0.7817818522453308
22,0.48181837797164917,0.6941314339637756,0.43185335397720337,0.6571555137634277
23,0.4446968138217926,0.6668558716773987,0.40436065196990967,0.6358935832977295
24,0.39913588762283325,0.6317720413208008,0.4776732325553894,0.6911391019821167
25,0.40831509232521057,0.638995349407196,0.4081655442714691,0.638878345489502
26,0.3911285102367401,0.6254026889801025,0.38312584161758423,0.618971586227417
27,0.40394479036331177,0.6355664134025574,0.3500440716743469,0.5916452407836914
28,0.40621012449264526,0.6373461484909058,0.4356987476348877,0.6600748300552368
29,2.6077702045440674,1.6148592233657837,2.991645097732544,1.7296372652053833
30,2.9870076179504395,1.7282962799072266,2.817411422729492,1.678514838218689
31,2.859511375427246,1.6910089254379272,2.8140950202941895,1.6775263547897339
32,2.858205556869507,1.6906225681304932,2.8145911693573,1.6776741743087769
33,2.8594799041748047,1.6909997463226318,2.812234878540039,1.6769720315933228
34,2.8593852519989014,1.6909717321395874,2.8117854595184326,1.6768379211425781
35,2.8585243225097656,1.6907172203063965,2.8126275539398193,1.677088975906372
36,2.858680248260498,1.6907628774642944,2.812070846557617,1.6769229173660278
