epoch,loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
0,2.808870792388916,1.6759686470031738,3.1321206092834473,1.769779920578003
1,2.6079344749450684,1.6149100065231323,3.0720973014831543,1.7527399063110352
2,2.4625630378723145,1.5692555904388428,3.017533779144287,1.737104892730713
3,2.421236038208008,1.5560321807861328,2.942394971847534,1.7153410911560059
4,2.312972068786621,1.520845890045166,2.908254384994507,1.7053605318069458
5,2.1836047172546387,1.4777026176452637,2.817262649536133,1.678470253944397
6,2.0198473930358887,1.4212132692337036,2.6104612350463867,1.615692138671875
7,1.9589742422103882,1.3996336460113525,2.7685368061065674,1.6638920307159424
8,1.847535490989685,1.3592407703399658,2.5912723541259766,1.6097429990768433
9,1.6425327062606812,1.2816132307052612,1.9284874200820923,1.3886998891830444
10,1.550754427909851,1.2452929019927979,1.8026123046875,1.342613935470581
11,1.385186791419983,1.1769394874572754,1.8530266284942627,1.3612592220306396
12,1.3882707357406616,1.1782490015029907,1.392643690109253,1.1801033020019531
13,1.0831044912338257,1.0407230854034424,1.2538387775421143,1.1197494268417358
14,0.9176839590072632,0.9579582214355469,1.308856725692749,1.1440527439117432
15,0.9393407106399536,0.9691959023475647,1.1576673984527588,1.0759494304656982
16,1.001598596572876,1.0007989406585693,1.6072862148284912,1.2677878141403198
17,1.0391572713851929,1.01939058303833,1.0099084377288818,1.0049420595169067
18,0.7857170104980469,0.8864067792892456,1.1179214715957642,1.0573179721832275
19,0.7793768048286438,0.8828232288360596,1.0132372379302979,1.0065968036651611
20,0.7490992546081543,0.8655052185058594,1.0066293478012085,1.0033092498779297
21,0.7856112718582153,0.8863471746444702,0.9278378486633301,0.9632434248924255
22,0.8031672239303589,0.8961959481239319,0.9329255223274231,0.9658806920051575
23,0.6959117650985718,0.8342133164405823,0.8976209759712219,0.9474285840988159
24,0.6806972622871399,0.825043797492981,0.8946143984794617,0.94584059715271
25,0.6801630258560181,0.8247199654579163,0.867173969745636,0.9312217235565186
26,0.6845889091491699,0.8273988962173462,0.8797887563705444,0.9379704594612122
27,0.6573445200920105,0.8107678294181824,0.8913230895996094,0.9440990686416626
28,0.6586678624153137,0.8115835785865784,0.8933248519897461,0.9451586008071899
29,0.6611345410346985,0.8131017684936523,0.9064270257949829,0.9520646333694458
30,0.6887287497520447,0.8298968076705933,0.9026246070861816,0.950065553188324
31,0.6577780842781067,0.81103515625,0.8551346063613892,0.924734890460968
32,0.6447144746780396,0.8029411435127258,0.9017511606216431,0.9496057629585266
33,0.6620464324951172,0.8136623501777649,0.9375553131103516,0.9682744145393372
34,0.6248451471328735,0.7904714941978455,0.8979505300521851,0.9476025104522705
35,0.701940655708313,0.83781898021698,0.9981099367141724,0.999054491519928
36,0.6489812731742859,0.8055937886238098,0.8436702489852905,0.9185152649879456
37,0.5928354859352112,0.7699580788612366,0.8585503697395325,0.9265799522399902
38,0.5829699635505676,0.7635246515274048,0.8431273698806763,0.9182196855545044
39,0.5813282132148743,0.7624488472938538,0.8866109848022461,0.9416002631187439
40,0.5632338523864746,0.7504890561103821,0.8706801533699036,0.9331024885177612
41,0.5506750345230103,0.7420747876167297,0.8270372152328491,0.9094158411026001
42,0.5284456014633179,0.7269426584243774,0.8059602975845337,0.8977529406547546
43,0.5276891589164734,0.7264221906661987,0.8102452158927917,0.9001362323760986
44,0.518222451210022,0.7198767066001892,0.8361533284187317,0.9144141674041748
45,0.5554922819137573,0.7453135251998901,0.9203969836235046,0.9593732357025146
46,0.565955400466919,0.7523000240325928,0.8372289538383484,0.915002167224884
47,0.5700970888137817,0.7550477385520935,0.9175880551338196,0.9579082131385803
48,0.5274403095245361,0.7262508273124695,0.8117664456367493,0.9009808301925659
49,0.49718934297561646,0.7051165103912354,0.8162263035774231,0.903452455997467
50,0.4859457015991211,0.6970980763435364,0.8300231099128723,0.9110561013221741
51,0.5118776559829712,0.7154562473297119,0.8370043039321899,0.9148794412612915
52,0.5188430547714233,0.7203075885772705,0.8532223701477051,0.9237003326416016
53,0.5002375841140747,0.7072747349739075,0.8383728265762329,0.9156270623207092
54,0.524787187576294,0.7244219779968262,0.8470122218132019,0.9203327298164368
55,0.4959469735622406,0.7042350172996521,0.8129035234451294,0.9016115665435791
