epoch,loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
0,3.2401089668273926,1.8000303506851196,3.7805161476135254,1.9443548917770386
1,3.168964385986328,1.780158519744873,3.5218613147735596,1.8766621351242065
2,3.014371633529663,1.7361944913864136,3.361340045928955,1.8333957195281982
3,2.9028677940368652,1.7037805318832397,3.3849804401397705,1.8398314714431763
4,2.8934288024902344,1.7010082006454468,3.3333802223205566,1.8257545232772827
5,2.8543152809143066,1.6894718408584595,3.287832260131836,1.8132381439208984
6,2.8444297313690186,1.6865437030792236,3.330066680908203,1.824846863746643
7,2.8557376861572266,1.6898928880691528,3.3263556957244873,1.823830008506775
8,2.786390542984009,1.6692485809326172,3.2670066356658936,1.8074862957000732
9,2.743861675262451,1.6564606428146362,3.2641441822052,1.8066942691802979
10,2.726196765899658,1.6511199474334717,3.1606411933898926,1.777819275856018
11,2.676328182220459,1.6359487771987915,3.133089780807495,1.7700536251068115
12,2.637620449066162,1.624075174331665,3.1100335121154785,1.763528823852539
13,2.612968683242798,1.6164679527282715,3.0843214988708496,1.7562237977981567
14,2.5768682956695557,1.6052627563476562,3.050039291381836,1.7464362382888794
15,2.545876979827881,1.5955803394317627,3.056785821914673,1.7483667135238647
16,2.5310089588165283,1.5909144878387451,3.0105392932891846,1.7350906133651733
17,2.514021635055542,1.585566759109497,3.0058867931365967,1.7337493896484375
18,2.5011916160583496,1.5815155506134033,2.9507408142089844,1.7177720069885254
19,2.44946551322937,1.5650769472122192,2.9584691524505615,1.7200201749801636
20,2.431330442428589,1.5592724084854126,2.8777029514312744,1.6963794231414795
21,2.445756435394287,1.5638914108276367,2.894087791442871,1.7012019157409668
22,2.42291522026062,1.55657160282135,2.885706663131714,1.6987366676330566
23,2.4135406017303467,1.5535575151443481,2.840341091156006,1.685331106185913
24,2.3613014221191406,1.5366525650024414,2.7942309379577637,1.6715954542160034
25,2.3414499759674072,1.5301796197891235,2.7665679454803467,1.6633002758026123
26,2.2505862712860107,1.5001953840255737,2.9170892238616943,1.7079488039016724
27,2.643266201019287,1.6258124113082886,2.7768545150756836,1.6663894653320312
28,2.417501449584961,1.5548317432403564,2.9769127368927,1.7253731489181519
29,2.4583072662353516,1.5678988695144653,2.9323408603668213,1.7124079465866089
